Ref,Val,Package,PosX,PosY,Rot,Side
"C1","2u2","C_0805",83.820000,-95.225500,90.000000,top
"C2","2u2","C_0805",107.950000,-95.225500,90.000000,top
"C3","2u2","C_0805",118.110000,-95.225500,90.000000,top
"C4","2u2","C_0805",142.240000,-95.225500,90.000000,top
"C5","2u2","C_0805",157.480000,-95.225500,90.000000,top
"R1","EDO","R_0805",82.677000,-86.487000,180.000000,top
"R2","FPM","R_0805",82.677000,-84.455000,0.000000,top
"U1","KM44C16104","SOP-32_400mil",95.885000,-90.043000,90.000000,top
"U2","KM44C16104","SOP-32_400mil",130.175000,-90.043000,90.000000,top
